what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1275551303801
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1275551303802
os,sysinfo,,,"win32",1275551303806
arch,sysinfo,,,"x86",1275551303806
ws,sysinfo,,,"win32",1275551303806
locale,sysinfo,,,"vi_VN",1275551303806
processors,sysinfo,,,"2",1275551303806
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1275551303806
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1275551303806
java.specification.name,sysinfo,,,"Java Platform API Specification",1275551303806
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275551303806
java.specification.version,sysinfo,,,"1.6",1275551303806
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1275551303806
java.version,sysinfo,,,"1.6.0_19",1275551303806
java.vm.info,sysinfo,,,"mixed mode",1275551303806
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1275551303806
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1275551303806
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275551303806
java.vm.specification.version,sysinfo,,,"1.0",1275551303806
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1275551303806
java.vm.version,sysinfo,,,"16.2-b04",1275551303806
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1275551303891
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275551305327
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551309573
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275551324858
activated,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1275551335535
